search_term,author
The Hitchhiker's Guide to the Galaxy,
Pride and Prejudice,
To Kill a Mockingbird,
1984,
The Lord of the Rings,
Harry Potter and the Sorcerer's Stone,
The Little Prince,
The Catcher in the Rye,
Animal Farm,
The Great Gatsby,
